name	x	y
Kathy Bates	438.22471035479	493.9188991776361
Michael York	129.5665603576464	443.56322065460193
Christina Ricci	305.81094358346473	300.8365118214626
Gary Sinise	417.24989657523685	679.1836226513489
Mark Hamill	518.0204467069608	601.4044963421045
Julia Roberts	598.0806878730341	478.61739639058237
Robert Duvall	226.35984305675694	409.46998068395254
Elliott Gould	614.5024937945944	542.7355458653601
Seth Rogen	555.9339737397986	380.8071552766647
Talia Shire	208.85510972393368	523.017943674994
James Franco	616.8316336420639	392.01987681983786
Ben Stiller	456.23848736294974	352.5745117865103
paul Newman	317.887379213111	334.89900332052537
Sylvester Stallone	163.7918209173799	561.4942383045936
Karen Black	596.9767837845661	598.1440970872329
James Earl Jones	455.3059766351024	605.246483463019
Famke Janssen	411.605997152129	145.37650992494497
Udo Kier	178.74795849979176	246.6294662908488
Emma Watson	339.0693684851218	155.11645629453201
Laurence Fishburne	270.6222933842682	287.01434897627723
Peter Falk	289.98873803512834	350.33793759921844
Joe Pesci	401.97019112260034	503.809665765982
Jack Nicholson	216.98241151955065	623.6900005917602
John Hurt	237.7302785536758	221.80202335933038
Antonio Banderas	237.0170071217239	455.5208068730175
Dan Aykroyd	648.6859471725859	509.67189257347917
Robert De Niro	351.5234045338789	469.2186052147356
Liam Neeson	231.65108392867108	192.2862305897917
Donald Sutherland	641.1164418882421	235.4452965861327
Robert Downey Jr.	482.9716047046749	503.1287697583841
Jennifer Aniston	620.1381688788465	440.32499757260473
Sean Bean	510.59454476858525	202.32768330861725
Steve Carell	599.4461175693268	347.71967059177234
Jason Bateman	568.36234432	407.7734995702898
Geoffrey Rush	418.27144556067975	273.7829382156707
Carrie Fisher	513.9608192512991	659.4610356049513
Arnold Schwarzenegger	219.66308881085416	581.1094080219974
Hugo Weaving	392.27246130004374	201.55984451238223
Jim Carrey	657.6868807426669	362.350807699871
Christopher Walken	328.89066601758776	418.1992206484132
Harvey Keitel	321.79597452978487	520.7154917561099
Elijah Wood	443.230896455193	262.1306028668138
Woody Harrelson	594.259642906923	216.25368954729447
Patrick Stewart	455.2560579784569	123.73649249772816
John Malkovich	360.3261472102295	556.1742036227625
Bonnie Hunt	304.36380393215325	664.9704335299084
Kirsten Dunst	674.5287430661699	406.8840444659337
Bill Murray	666.2119926527845	453.28593776045466
Robert Wagner	255.73168610136833	320.961781103762
Monica Bellucci	273.72588038052885	217.880684596454
John Travolta	324.49638341343274	569.6941035307821
Helena Bonham Carter	353.979633545214	210.74355099168088
Salma Hayek	278.23568842244526	420.0132073530664
Jennifer Lawrence	573.9724314233575	263.1085623499837
Harry Dean Stanton	297.9087170881627	252.73176493091322
Dennis Hopper	254.92118996978252	353.7733463028331
Brad Pitt	538.9262022232454	493.4927026799382
Tim Allen	365.3058180247165	592.3874491846225
Seymour Cassel	292.32953674621325	408.4411713180024
Rebecca Romijn	429.71363992751	123.28137120399244
Diane Keaton	254.7445419496878	541.3664193532813
Samuel L. Jackson	435.6826937279757	546.5345715831198
Dustin Hoffman	418.3958327162902	435.8345320362282
Jada Pinkett Smith	449.91214915611835	412.02765435909015
Danny DeVito	273.36565492979497	607.990909088975
Scarlett Johansson	494.5637547170453	562.1712512536193
Orlando Bloom	455.6152098920067	221.97659802842549
