name	x	y
A 0	558.7563795502031	592.8299364165046
A 1	330.52312667218564	247.0290286528084
A 2	509.7191906709511	185.0150476181027
A 3	668.9975221379268	332.4539489026823
A 4	343.0483035332368	574.9012781450072
A 5	636.4323362280958	263.4832312127734
A 6	488.1775856885307	438.8855324142798
A 7	471.8456418052835	585.5940760122119
A 8	483.8547262452655	460.5863129432621
A 9	255.63485067941826	427.9634442708191
B 0	549.1175477809537	546.6441844084924
B 1	580.5888426638522	206.19864568413624
B 2	194.83630101082605	380.58054923017426
B 3	435.91485767281637	202.91344232798696
B 4	288.2248206129458	412.11365704051286
B 5	253.89978321482315	601.8432069224016
B 6	645.70834239403	542.2843853333591
B 7	634.4828806400769	417.81700045056425
B 8	226.7533442228698	496.7980353612682
B 9	222.6187967034245	577.2920841991692
C 0	585.7600808894504	597.6328143362074
C 1	461.08485496240274	185.5180097908339
C 2	369.1030511602475	631.8417350531261
C 3	419.8796861093316	278.4689097943208
C 4	184.57098290934692	234.15847236413398
C 5	388.3701347226843	435.5062936761289
C 6	210.7788208664965	166.91368984313044
C 7	349.46020403680245	471.80054887947773
C 8	595.5215845065408	472.2859373195969
C 9	270.3085179856232	308.7415983723712
D 0	622.1945962448984	523.2494345246477
D 1	217.58093678012327	223.69353428226316
D 2	299.0147664527961	566.5526278127471
D 3	150.43506435796286	301.70837350565483
D 4	529.5316957102276	221.14049513409626
D 5	410.2154608894449	579.2845998236991
D 6	395.73705013105314	497.8154966429472
D 7	172.26759649052872	420.6483407300276
D 8	471.1812949709682	387.5779120533032
D 9	357.93979770257056	211.86080187118827
E 0	224.04087642979593	418.0976337351666
E 1	302.4508649235177	631.5803784366606
E 2	365.9269599641162	167.58964901700574
E 3	306.02627293278886	494.96941101227
E 4	605.0155060095292	283.55539074208485
E 5	452.0079120331449	320.7533202685962
E 6	240.0350060486457	521.5723679442461
E 7	464.7240248011419	347.4946681565957
E 8	454.16310448305	677.7485863544628
E 9	585.7768005170216	514.5365776603404
F 0	499.6689244791616	541.5428327547957
F 1	553.3758372126587	397.6580221521893
F 2	500.63402554430974	273.8957287396627
F 3	264.7439244993437	221.25104707207268
F 4	420.19103311704214	432.8914335906235
F 5	470.71723952176586	267.5158883527261
F 6	583.7517213346363	378.6006737821454
F 7	229.06328195216162	467.68815705455495
F 8	511.5917139366011	641.187668689752
F 9	450.0167931254248	242.33128023323053
G 0	136.80692383071624	515.2379228567129
G 1	413.7410177950056	626.8152705352111
G 2	135.51697439424902	360.7556522482582
G 3	578.4469075308903	291.144229478539
G 4	217.81808335344664	306.6973151204461
G 5	299.62659125006024	452.3844239115848
G 6	429.22794272470685	488.09972114053767
G 7	208.96460037057346	374.27198793160073
G 8	565.3679292434545	432.43095120496105
G 9	287.4864204362478	181.0767039634871
H 0	539.8924376163466	507.35491212661526
H 1	639.8809764992812	344.3467549734672
H 2	545.7511226371969	326.1265674651754
H 3	612.5767861676687	364.97603768951257
H 4	373.11412936969947	559.5964787389279
H 5	263.4943235636574	343.0150084359369
H 6	339.9919416812463	523.2887356911173
H 7	458.1748717817126	526.1574507522577
H 8	563.9482753111977	460.33105971947384
H 9	423.4491775823793	521.7271075774692
I 0	292.8254881375197	263.46479546352896
I 1	383.0463995554255	397.01618388313796
I 2	484.35483836793014	503.6797773705686
I 3	329.54832423493633	642.8101387779144
I 4	379.14003095552033	293.04768886291066
I 5	379.5764942602584	205.70065601201532
I 6	164.96172862119957	459.2272334455438
I 7	340.16587563616696	293.94660372205834
I 8	327.12743107611334	368.34313223376984
I 9	327.12468741071854	416.8330876357833
J 0	529.3227084872374	577.2705675977649
J 1	193.0216224693272	264.3283702789065
J 2	437.96367459995037	392.20290310341113
J 3	338.59290026999156	344.71250892138346
J 4	522.0942063552523	287.0942422595694
J 5	354.46525433073606	140.41238256645755
J 6	456.2607220191018	144.4353084102109
J 7	404.8351997683368	129.88959204928983
J 8	187.25150791978163	555.7665681026257
J 9	395.3969687809036	353.4961111579446
