name	x	y
Adam Sandler	428.0274532638715	421.25671677942063
Chris Rock	367.17010350538914	436.8342714695699
Steve Buscemi	486.7368366017294	401.2075171545875
Al Pacino	508.3975007339002	233.9774234271759
Diane Keaton	554.6146556321975	217.59282213363682
James Caan	525.2317899119739	285.9660822954888
Robert De Niro	452.35147054060326	211.08743032133108
Talia Shire	573.1279454955059	268.12527777984957
Alan Rickman	667.0540483886914	334.78744493328077
Daniel radcliffe	630.5316479547096	338.9588616304776
Emma Watson	601.935335495953	359.6487598133491
gary Oldman	629.643127396208	400.072183635152
Helena Bonham Carter	610.1977918580865	292.51838919218926
John Hurt	652.6436449994906	280.11447008447016
Liam Neeson	617.2489010953066	368.23477228002497
Ralph Fiennes	671.2769002259894	385.525025765781
Alec Baldwin	509.9490559346136	496.5273206230681
Joan Cusack	552.5529528694285	453.2076560960239
Angelina Jolie	428.7271246500625	334.7199209213737
Brad Pitt	466.25003246139266	383.2509413505052
Jack Black	371.4683700823701	310.1706035700147
Antonio Banderas	512.1972593755296	458.4046587111821
Cameron Diaz	542.2060947091303	501.69336996882527
Carla Gugino	527.3064461046051	401.3696718324168
Eddie Murphy	468.98435597553294	489.17044128084336
Mike Myers	499.9283578377105	526.3478122851661
Salma Hayek	452.7716784713188	452.3390536784499
Arnold Schwarzenegger	543.0695757636913	362.8844343619179
Danny DeVito	512.9072198383973	310.7874507828569
Sylvester Stallone	589.9312504913418	325.0460367708064
Ben Affleck	457.04463102381914	435.27743247751295
Matt Damon	415.6909419222129	393.3753128627017
Ben Stiller	353.322151652517	374.70370701846997
David Cross	404.25604310633827	358.24730742760926
Jada Pinkett Smith	408.8368938804919	401.6473166258764
Jonah Hill	394.3389449793693	327.78033015896744
Owen Wilson	424.9655035231102	379.6677857507712
Robin Williams	348.69375412362086	435.83030451635284
Vince Vaughn	394.9604687208405	340.4751425502722
Will Ferrell	387.98582965442756	415.01042532141145
Bill Murray	414.5321430356207	318.78239315637995
Dan Aykroyd	423.72077310273113	257.84661429943725
Billy Dee Williams	327.7629521313719	383.79093725372815
Carrie Fisher	348.7450837268169	327.0573541689382
Bonnie Hunt	567.5562589884609	488.0182858892659
Tom Hanks	615.8825304622748	454.9286198347129
Don Cheadle	475.7253191164529	432.9689289194843
George Clooney	425.8196229389887	444.9116030767177
Julia Roberts	510.0868298176151	426.8657354644304
Bruce Willis	478.28935650717466	337.1371436554832
John Travolta	464.86284994145086	276.2388104331419
Samuel L. Jackson	512.7455237107414	383.0115636363331
Burgess Meredith	632.3880863987721	285.73429082463406
Mark Hamill	405.3719682238976	301.0680256796202
Cate Blanchett	516.1387331256117	181.51404135597826
Christopher Lee	565.0023343849512	241.10911775874345
Elijah Wood	549.3386625922025	174.6704788697507
Hugo Weaving	526.3989038563876	245.62920304878688
Ian McKellen	575.1737561552886	201.16265655389935
Orlando Bloom	503.98610847822977	213.4797722465799
Charlton Heston	617.2884272034364	268.06946394479655
paul Newman	615.0433347004515	327.08926875657477
Christina Ricci	509.6006368344476	254.18868504284876
Johnny Depp	553.0764503260206	297.1417049053919
Christopher Walken	445.49174321774495	355.94514478417193
