name	x	y
Napoleon	580.9333555070107	291.017471661804
Myriel	565.193766841027	353.4446406318041
Mlle.Baptistine	526.4772801713331	319.444809182151
Mme.Magloire	543.2963088870681	398.38160139660914
CountessdeLo	612.0311087220116	395.3963631629066
Geborand	620.9257876666442	380.27777033410706
Champtercier	624.6786787820505	340.05448528329964
Cravatte	599.7526569624508	407.12815895518605
Count	625.8334239965	362.30783167990387
OldMan	615.2429095059778	317.24429217127505
Valjean	497.2671121964705	367.9946715896089
Labarre	491.60320773924553	303.04778973971827
Marguerite	557.8756480977167	386.78755832376436
Mme.deR	542.5436590321375	320.8485593114497
Isabeau	557.8669635321007	398.99448352164393
Gervais	549.1004843029606	413.45558270897453
Listolier	464.32767412616477	475.7054462728977
Tholomyes	471.53946141528434	435.37703248029266
Fameuil	518.1359138254838	503.73726857871577
Blacheville	500.77851368743535	467.2556906836985
Favourite	485.3344346472928	501.9038508831856
Dahlia	542.6050267689562	452.5314265631248
Zephine	541.938840902756	482.44487191243564
Fantine	510.9635412105173	427.45910117474875
Mme.Thenardier	446.9884735314924	424.5240501547615
Thenardier	463.5575189843721	403.0407504404203
Cosette	516.3651588162722	407.2869266462066
Javert	473.2907816533288	361.8745765753611
Fauchelevent	545.5718180669262	349.78858820942935
Bamatabois	536.5924118456371	373.95906734175844
Perpetue	478.20077931954984	477.54069793303637
Simplice	454.7505751993723	417.2223053820232
Scaufflaire	511.43120696239396	300.1132522158954
Woman1	504.3495901258084	307.5857863857662
Judge	508.00477719770413	325.8074170151986
Champmathieu	567.4126394320925	375.71670694907385
Brevet	575.3081609764416	343.52041157867626
Chenildieu	560.342239076012	317.6823569364683
Cochepaille	532.2240136044144	304.7288527421006
Pontmercy	515.3292621970803	376.74573683816226
Boulatruelle	438.3134104021135	462.06960389285507
Eponine	392.0334756678607	367.71619740107883
Anzelma	444.42984432071387	354.6476886480401
Woman2	463.6833157411194	423.16802482794895
MotherInnocent	538.8014646790116	414.1482945942658
Gribier	592.9454238459602	308.2368476972926
Mme.Burgon	376.0739307037519	388.2889451925554
Jondrette	384.23656003007034	451.2564729794233
Gavroche	421.07936811909815	344.5637790030279
Gillenormand	444.20741274976535	399.06785315629656
Magnon	391.27517012803594	435.7078697151905
Mlle.Gillenormand	477.74182921296585	423.01288653737333
Mme.Pontmercy	538.3373951873405	438.27886059301073
Mlle.Vaubois	518.5232552050121	472.59160783491643
Lt.Gillenormand	504.5530176119885	359.583984966281
Marius	455.57718828471195	351.09801167873377
BaronessT	501.45575592307165	393.6182174504775
Mabeuf	394.749778068367	305.41279902393546
Enjolras	476.1478601592804	304.43364276998113
Combeferre	464.1770033531722	276.66070901998705
Prouvaire	392.36813248924466	284.79805218893586
Feuilly	440.4039109334366	264.76046837638194
Courfeyrac	424.39605972540164	319.5106415600756
Bahorel	414.23008472711444	270.29068183490483
Bossuet	460.91935143608464	321.55161940115545
Joly	439.4294139237318	296.7119632320116
Grantaire	394.09687824382536	313.8080859280665
MotherPlutarch	360.6623819781581	355.2143832104342
Gueulemer	442.0600171019784	376.6927906404934
Babet	416.0614989045016	392.13033587930363
Claquesous	432.0044942954636	345.90908978468224
Montparnasse	436.3154940489155	418.35614755997597
Toussaint	538.9012754296994	342.29981066200406
Child1	426.1890916839199	402.30321640601835
Child2	477.2718602192761	353.57213847108545
Brujon	388.5632234302495	410.141983169012
Mme.Hucheloup	452.96652975846234	263.06741083700683
