name	x	y
Myriel	506.3374467767102	341.17597536606894
Napoleon	534.9358756960186	213.13379520664338
Mlle.Baptistine	482.18187842956416	421.59675458778275
Mme.Magloire	418.4335132769673	348.1703637212784
CountessdeLo	594.3595675947628	267.67716225411823
Geborand	597.5724192749251	236.92263094270348
Champtercier	564.9273024510103	226.47698310933004
Cravatte	626.2783296395679	275.0008625289115
Count	628.6724806687005	306.81467858293365
OldMan	631.9037100958739	337.78105596824776
Labarre	389.98927589740424	321.65265293303236
Valjean	373.1766451009891	454.0630736805572
Marguerite	451.2480978318209	355.3794265463215
Mme.deR	248.0022095261203	445.8964897943237
Isabeau	475.3685918602923	383.4799104341989
Gervais	474.0917827774924	480.26948704483334
Tholomyes	437.9778441923615	308.4041967426351
Listolier	445.9740859877313	232.0895195322735
Fameuil	393.286641006873	171.23511331848368
Blacheville	387.10864326244024	234.72237951104805
Favourite	346.54955248852315	186.368952798394
Dahlia	438.6408681062373	187.7303251203508
Zephine	333.2126304286933	230.9315520203832
Fantine	362.4291292822914	332.05442820321065
Mme.Thenardier	310.394827747643	441.59304581494735
Thenardier	387.92671340133967	503.76090745841594
Cosette	437.2318516799423	427.95328396776694
Javert	332.3776524108256	484.79276552602033
Fauchelevent	225.60810545288015	466.6492134910822
Bamatabois	286.54730202194474	405.26270102204114
Perpetue	265.0117548809606	252.70824845312836
Simplice	282.1899926487674	375.7543756026306
Scaufflaire	329.15136504377915	317.7635307341885
Woman1	240.767678145225	491.8859545287535
Judge	279.79533738276837	316.383259899223
Champmathieu	233.5948218374678	334.78716419938655
Brevet	229.74705133862943	424.84396332955373
Chenildieu	209.3594182949066	380.5230766105238
Cochepaille	313.8684122737889	349.66519433226756
Pontmercy	542.3088042513663	506.37917000243726
Boulatruelle	251.67279222706335	566.2020296454253
Eponine	389.9457162828375	564.6513610314136
Anzelma	283.7765557022631	540.0909870948298
Woman2	333.965497062763	382.36503983202385
MotherInnocent	247.9003756219707	381.8386080195096
Gribier	98.27652719592815	432.92937587487035
Jondrette	170.40802632079502	707.4987934774953
Mme.Burgon	288.97493663671594	672.0185542053111
Gavroche	412.33915771192125	588.7293114003003
Gillenormand	503.4739453420193	471.72816256641534
Magnon	412.56913016490074	412.695762730207
Mlle.Gillenormand	521.137663495728	420.4576643734336
Mme.Pontmercy	640.7726202214657	456.45381330300233
Mlle.Vaubois	650.4074101104713	403.70581005474565
Lt.Gillenormand	574.7730600251198	476.6598966726674
Marius	471.23059765178243	528.9478435771694
BaronessT	590.5507200502209	540.2197618987132
Mabeuf	515.8215923636637	581.2379654289714
Enjolras	386.732058652233	600.4103751300361
Combeferre	517.730504845528	663.8150938649287
Prouvaire	408.0522885891775	695.4275811962509
Feuilly	522.7712227324189	626.4068493168701
Courfeyrac	430.5369788771754	651.1787850913644
Bahorel	477.8481924789266	677.0287861978896
Bossuet	454.0091120127064	586.90822062029
Joly	474.52097589903394	636.163678627619
Grantaire	457.72300525392484	717.4483657095799
MotherPlutarch	625.7018969098608	636.3273274913976
Gueulemer	332.880527341626	539.3674436846869
Babet	293.7080144109773	560.3787998473615
Claquesous	275.17472053482965	519.5345906845407
Montparnasse	334.4470639529486	586.2149202905512
Toussaint	360.3768202015958	372.4341984922949
Child1	327.5971175078447	692.964992615094
Child2	403.2695076284343	729.6708770382946
Brujon	308.05134307654254	627.3253177103253
Mme.Hucheloup	378.14512144403403	689.5472834547317
