Time_selectNodeWithHighestDegree2_NL,,,,,,,,, :: Time_selectAllNeigbhorsOf1Node_NL,,,,,,,,, :: Time_selectMoreInterconnectedCluster2Clusters_NL,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
8,10,9,11,12,5,7,17,6,6 :: 22,25,13,30,30,20,25,10,8,7 :: 6,7,5,2,6,3,3,3,2,3
10,6,6,8,6,6,6,6,7,5 :: 21,18,12,30,15,13,16,11,6,8 :: 16,16,17,9,20,4,19,6,10,9
7,5,5,3,3,4,4,3,4,3 :: 13,15,8,22,17,8,27,10,7,6 :: 2,3,3,2,2,2,2,2,2,2
12,8,5,6,7,4,5,5,7,5 :: 30,17,21,25,17,8,11,8,7,6 :: 5,3,3,2,2,3,2,2,2,2
15,11,5,6,7,6,5,4,7,5 :: 14,18,13,30,21,9,19,11,7,7 :: 3,3,4,2,2,3,2,2,3,2
10,7,6,6,7,6,5,6,6,5 :: 19,19,15,27,23,15,18,9,6,7 :: 6,12,11,6,8,6,3,4,6,5
7,6,6,5,7,6,5,5,5,5 :: 11,21,10,17,11,30,16,15,6,19 :: 2,2,4,2,2,2,2,2,2,2
14,8,9,6,8,9,10,7,11,7 :: 28,30,20,30,30,15,19,15,22,13 :: 3,2,3,4,6,3,2,3,3,2
20,10,9,9,7,8,6,7,8,9 :: 28,26,15,24,18,12,30,14,8,19 :: 18,19,13,18,12,14,16,12,7,8
0,0,0,0,0,0,0,0,0,0 :: 0,0,0,0,0,0,0,0,0,0 :: 0,0,0,0,0,0,0,0,0,0
13,9,9,8,7,6,9,6,9,7 :: 27,30,18,24,18,16,23,18,14,9 :: 4,4,4,6,3,3,3,2,3,6
