Acc_selectNodeWithHighestDegree2_NL,Acc_selectNodeWithHighestDegree2_MAT
1.0,0.7
1.0,0.8
1.0,0.9
1.0,0.6
1.0,0.8
1.0,0.5
1.0,0.8
1.0,0.9
1.0,0.7
0.0,0.4
1.0,null


Acc_selectAllNeigbhorsOf1Node_NL,Acc_selectAllNeigbhorsOf1Node_MAT
0.9,0.7
0.9,0.95
0.968888888888889,1.0
0.9222222222222222,0.8194444444444444
0.9277777777777778,0.9194444444444443
0.9277777777777778,0.9800000000000001
0.9111111111111111,0.7833333333333333
0.95,0.9633333333333333
0.888888888888889,0.7944444444444445
0.0,0.5211111111111111
0.888888888888889,null


Acc_selectMoreInterconnectedCluster2Clusters_NL,Acc_selectMoreInterconnectedCluster2Clusters_MAT
0.9,0.9
0.9,0.7
0.7,0.8
0.9,0.9
0.9,0.9
0.9,0.7
0.8,0.9
0.4,0.8
0.9,0.9
0.0,0.7
0.9,null


Time_selectNodeWithHighestDegree2_NL,Time_selectNodeWithHighestDegree2_MAT
9.1,15.2
6.6,8.3
4.1,12.1
6.4,17.4
7.1,6.4
6.4,8.1
5.7,11.4
8.9,8.1
9.3,12.3
0.0,12.7
8.3,null


Time_selectAllNeigbhorsOf1Node_NL,Time_selectAllNeigbhorsOf1Node_MAT
19.0,26.7
15.0,14.3
13.3,19.3
15.0,28.5
14.9,14.4
15.8,18.8
15.6,23.4
22.2,19.8
19.4,26.5
0.0,22.5
19.7,null


Time_selectMoreInterconnectedCluster2Clusters_NL,Time_selectMoreInterconnectedCluster2Clusters_MAT
4.0,4.3
12.6,3.0
2.2,3.3
2.6,4.7
2.6,2.1
6.7,2.6
2.2,3.6
3.1,4.1
13.7,3.2
0.0,5.0
3.8,null


