Time_selectAllNeigbhorsOf1Node_NL,,,,,,,,, :: Time_selectMoreInterconnectedCluster2Clusters_NL,,,,,,,,, :: Time_selectNodeWithHighestDegree2_NL,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
14,18,21,30,13,15,25,7,11,8 :: 3,1,2,3,3,2,2,2,1,2 :: 5,4,4,4,3,4,4,3,6,3
17,24,16,30,15,11,30,14,7,10 :: 9,7,9,3,9,7,5,3,3,3 :: 8,8,7,15,7,7,5,8,9,8
26,17,13,30,21,14,26,10,25,7 :: 7,7,4,3,6,3,4,2,2,2 :: 7,5,5,5,4,4,5,4,4,4
30,30,20,29,17,11,22,6,14,13 :: 10,4,5,2,3,2,3,3,2,2 :: 4,3,5,4,4,6,8,4,7,4
30,21,23,30,28,13,18,12,7,6 :: 3,3,4,3,3,2,2,2,1,2 :: 7,4,8,12,10,7,4,4,6,3
30,18,18,25,28,11,30,14,13,10 :: 5,3,2,2,2,5,3,3,4,2 :: 11,7,6,4,5,5,4,5,6,6
30,18,18,25,28,11,30,14,13,10 :: 5,3,2,2,2,5,3,3,4,2 :: 11,7,6,4,5,5,4,5,6,6
30,18,18,25,28,11,30,14,13,10 :: 5,3,2,2,2,5,3,3,4,2 :: 11,7,6,4,5,5,4,5,6,6
30,18,18,25,28,11,30,14,13,10 :: 5,3,2,2,2,5,3,3,4,2 :: 11,7,6,4,5,5,4,5,6,6
30,24,18,10,14,30,13,4,3,4 :: 3,4,2,4,3,4,4,6,3,6 :: 15,4,15,8,7,6,15,15,15,15
22,24,18,26,27,16,27,16,17,14 :: 8,10,9,9,10,6,8,10,8,10 :: 6,8,8,7,5,7,9,5,9,9
30,21,26,30,16,16,17,16,7,6 :: 9,10,10,3,4,10,10,4,8,9 :: 6,3,6,5,10,10,6,5,6,9
26,30,15,30,24,16,30,13,13,8 :: 10,10,10,6,7,10,10,5,5,5 :: 14,12,11,10,12,8,7,9,15,9
30,30,27,30,30,27,30,21,19,17 :: 9,8,9,6,5,8,7,4,4,3 :: 14,11,11,10,14,9,10,11,14,13
30,30,13,26,24,15,30,29,9,15 :: 2,3,2,2,2,2,2,2,2,2 :: 12,5,7,5,8,4,5,4,12,7
18,20,12,11,15,12,17,11,6,9 :: 3,4,2,4,2,2,2,2,2,3 :: 8,6,6,5,5,5,5,4,10,7
30,30,27,30,27,13,28,23,14,14 :: 7,3,3,2,3,3,3,2,4,3 :: 13,6,7,8,14,9,11,13,9,11
30,29,23,26,24,22,24,24,19,9 :: 4,8,4,2,3,4,3,3,3,2 :: 8,7,5,7,8,5,5,6,6,6
30,30,30,29,30,23,30,30,30,18 :: 5,6,7,5,9,7,3,7,5,4 :: 15,15,11,15,15,7,15,15,6,15
