Time_selectAllNeigbhorsOf1Node_MAT,,,,,,,,, :: Time_selectMoreInterconnectedCluster2Clusters_MAT,,,,,,,,, :: Time_selectNodeWithHighestDegree2_MAT,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
30,28,26,30,28,28,30,30,21,14 :: 4,9,2,2,3,3,2,1,1,1 :: 11,9,10,9,11,8,5,8,6,14
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
23,30,26,29,30,26,30,30,26,22 :: 4,3,2,2,4,1,2,1,3,3 :: 11,9,11,15,11,9,7,6,7,5
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
27,30,28,30,30,30,30,29,17,19 :: 4,3,5,4,3,2,2,2,7,2 :: 10,8,11,9,11,5,10,5,7,7
30,30,29,30,30,29,30,26,21,20 :: 3,7,5,4,3,4,6,4,7,4 :: 15,13,13,7,13,9,9,8,10,13
30,30,27,30,30,18,30,27,21,16 :: 3,6,3,5,3,3,5,2,2,2 :: 11,12,11,10,8,10,9,7,9,14
30,30,27,30,30,18,30,27,21,16 :: 3,6,3,5,3,3,5,2,2,2 :: 11,12,11,10,8,10,9,7,9,14
30,30,24,30,29,28,30,28,16,19 :: 3,3,4,4,4,5,4,4,7,3 :: 14,15,15,7,8,10,10,12,14,10
