Acc_selectAllNeigbhorsOf1Node_NL,Acc_selectAllNeigbhorsOf1Node_MAT
0.9222222222222222,0.8666666666666668
0.961111111111111,0.7038888888888889
0.95,0.7638888888888888
0.8333333333333333,0.7038888888888889
0.9,0.7038888888888889
0.8833333333333332,0.7038888888888889
0.8833333333333332,0.7038888888888889
0.8833333333333332,0.7038888888888889
0.8833333333333332,0.7038888888888889
0.025,0.7038888888888889
0.9666666666666666,0.7038888888888889
0.975,0.7038888888888889
0.961111111111111,0.7038888888888889
0.7277777777777777,0.7038888888888889
0.8277777777777778,0.9022222222222223
0.5111111111111111,0.6027777777777776
0.8805555555555555,0.6027777777777776
0.9527777777777778,0.7972222222222222
0.5633333333333332,null


Acc_selectMoreInterconnectedCluster2Clusters_NL,Acc_selectMoreInterconnectedCluster2Clusters_MAT
0.7,0.8
1.0,0.9
1.0,0.9
0.9,0.9
0.9,0.9
0.5,0.9
0.5,0.9
0.5,0.9
0.5,0.9
0.3,0.9
1.0,0.9
1.0,0.9
1.0,0.9
1.0,0.9
0.8,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8,null


Acc_selectNodeWithHighestDegree2_NL,Acc_selectNodeWithHighestDegree2_MAT
0.9,0.8
0.8,0.6
0.9,0.6
0.9,0.7
0.8,0.7
0.9,0.7
1.0,0.7
1.0,0.7
1.0,0.7
0.0,0.7
0.9,0.7
0.9,0.7
0.9,0.7
0.9,0.7
0.9,0.5
0.9,0.9
0.9,1.0
0.9,0.6
0.8,null


Time_selectAllNeigbhorsOf1Node_NL,Time_selectAllNeigbhorsOf1Node_MAT
16.2,26.5
17.4,27.0
18.9,27.2
19.2,27.0
18.8,27.0
19.7,27.0
19.7,27.0
19.7,27.0
19.7,27.0
15.0,27.0
20.7,27.0
18.5,27.0
20.5,27.0
26.1,27.0
22.1,27.5
13.1,25.9
23.6,25.9
23.0,26.4
28.0,null


Time_selectMoreInterconnectedCluster2Clusters_NL,Time_selectMoreInterconnectedCluster2Clusters_MAT
2.1,2.8
5.8,3.4
4.0,2.5
3.6,3.4
2.5,3.4
3.1,3.4
3.1,3.4
3.1,3.4
3.1,3.4
3.9,3.4
8.8,3.4
7.7,3.4
7.8,3.4
6.3,3.4
2.1,4.7
2.6,3.4
3.3,3.4
3.6,4.1
5.8,null


Time_selectNodeWithHighestDegree2_NL,Time_selectNodeWithHighestDegree2_MAT
4.0,9.1
8.2,8.3
4.7,9.1
4.9,8.3
6.5,8.3
5.9,8.3
5.9,8.3
5.9,8.3
5.9,8.3
11.5,8.3
7.3,8.3
6.6,8.3
10.7,8.3
11.7,8.3
6.9,11.0
6.1,10.1
10.1,10.1
6.3,11.5
12.9,null


