Time_selectMoreInterconnectedCluster2Clusters_NL,,,,,,,,, :: Time_selectNodeWithHighestDegree2_NL,,,,,,,,, :: Time_selectAllNeigbhorsOf1Node_NL,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
2,2,3,1,0,1,2,1,1,1 :: 7,2,2,1,1,1,1,2,2,2 :: 2,2,1,2,3,30,3,7,3,2
10,10,10,9,6,3,7,8,5,5 :: 9,8,5,5,4,5,7,4,12,7 :: 17,18,15,30,25,11,25,8,10,14
7,3,3,2,2,1,3,2,2,4 :: 10,9,9,8,8,9,8,7,7,9 :: 23,21,10,29,29,14,22,15,7,8
8,3,7,4,3,3,3,2,3,2 :: 17,7,8,9,9,10,7,8,16,9 :: 30,29,21,30,25,16,17,30,15,14
5,4,3,3,2,2,4,2,2,3 :: 6,7,6,8,7,7,6,5,5,5 :: 18,28,16,16,20,10,24,9,13,8
8,10,10,10,5,7,4,5,4,6 :: 20,8,20,7,12,20,9,10,9,11 :: 30,29,27,30,30,17,30,29,29,24
5,2,2,2,2,2,2,4,3,2 :: 7,5,4,5,6,6,7,4,6,5 :: 27,26,11,30,22,8,24,11,8,7
10,4,10,3,3,3,4,2,5,2 :: 13,11,9,7,8,8,8,8,15,9 :: 29,26,30,30,29,17,30,17,30,15
8,5,3,3,3,2,3,2,2,1 :: 11,5,5,5,5,5,4,5,5,5 :: 30,25,22,28,20,14,24,10,9,13
3,2,2,1,3,2,4,2,2,3 :: 10,10,8,4,4,6,5,5,4,5 :: 24,28,15,26,28,13,25,16,11,11
7,5,6,2,7,3,3,2,3,2 :: 12,11,11,10,13,17,15,16,8,10 :: 28,24,17,24,22,12,29,16,16,15
10,5,3,2,2,2,3,2,3,3 :: 8,7,7,7,6,7,6,6,5,15 :: 27,29,13,28,19,12,23,12,13,14
