Acc_selectMoreInterconnectedCluster2Clusters_NL,Acc_selectMoreInterconnectedCluster2Clusters_MAT
0.5,0.9
1.0,0.8
1.0,1.0
1.0,1.0
0.9,0.7
0.8,0.9
1.0,1.0
0.9,1.0
0.7,null
0.7,null
0.9,null
0.9,null


Acc_selectNodeWithHighestDegree2_NL,Acc_selectNodeWithHighestDegree2_MAT
0.0,0.9
1.0,0.1
1.0,0.8
1.0,0.9
1.0,0.7
0.8,0.8
1.0,0.7
1.0,0.8
0.0,null
1.0,null
1.0,null
1.0,null


Acc_selectAllNeigbhorsOf1Node_NL,Acc_selectAllNeigbhorsOf1Node_MAT
0.0,0.875
0.7555555555555555,0.0
0.9,0.6722222222222223
0.8305555555555555,0.7833333333333333
0.7111111111111111,0.4149999999999999
0.6055555555555555,0.875
0.8666666666666666,0.8133333333333332
0.8138888888888889,0.5216666666666667
0.7666666666666666,null
0.8388888888888889,null
0.8300000000000001,null
0.861111111111111,null


Time_selectMoreInterconnectedCluster2Clusters_NL,Time_selectMoreInterconnectedCluster2Clusters_MAT
1.4,5.3
7.3,6.9
2.9,3.5
3.8,2.2
3.0,6.9
6.9,2.4
2.6,6.0
4.6,4.2
3.2,null
2.4,null
4.0,null
3.5,null


Time_selectNodeWithHighestDegree2_NL,Time_selectNodeWithHighestDegree2_MAT
2.1,12.0
6.6,20.0
8.4,11.7
10.0,9.4
6.2,13.6
12.6,11.5
5.5,18.8
9.6,12.0
5.5,null
6.1,null
12.3,null
7.4,null


Time_selectAllNeigbhorsOf1Node_NL,Time_selectAllNeigbhorsOf1Node_MAT
5.5,19.0
17.3,30.0
17.8,25.8
22.7,19.5
16.2,27.5
27.5,22.0
17.4,27.8
25.3,24.1
19.5,null
19.7,null
20.3,null
19.0,null


