Time_selectNodeWithHighestDegree2_NL,,,,,,,,, :: Time_selectMoreInterconnectedCluster2Clusters_NL,,,,,,,,, :: Time_selectAllNeigbhorsOf1Node_NL,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
17,13,7,6,8,5,6,9,8,10 :: 4,6,8,4,2,3,3,3,4,3 :: 22,20,14,30,30,13,28,9,13,9
12,12,14,18,19,14,16,17,12,20 :: 4,4,4,4,5,4,10,4,4,3 :: 30,30,24,30,25,18,30,16,20,10
11,9,9,8,10,8,10,9,8,7 :: 4,3,3,3,10,4,3,2,2,2 :: 23,19,11,30,30,12,22,12,8,8
20,16,12,10,10,13,12,20,15,11 :: 8,6,10,4,6,10,4,4,4,8 :: 28,12,27,19,30,16,16,16,17,13
11,9,7,9,7,10,10,8,9,8 :: 4,3,5,3,3,2,2,2,3,3 :: 30,30,18,30,18,15,25,13,11,10
10,7,9,10,8,6,7,6,5,5 :: 4,3,3,10,8,3,3,3,4,3 :: 30,30,22,28,22,13,24,10,9,7
20,13,8,8,5,8,6,5,5,6 :: 4,3,2,2,2,2,2,2,2,2 :: 24,23,13,27,13,13,22,9,7,8
11,5,7,8,7,6,5,8,7,10 :: 6,3,4,3,2,2,2,2,2,3 :: 19,28,22,22,30,13,18,13,18,12
11,8,9,8,8,11,16,8,13,8 :: 10,9,8,6,7,6,5,4,6,6 :: 30,23,22,30,28,13,30,19,15,16
9,7,8,4,5,5,4,4,9,6 :: 3,3,3,1,2,3,2,2,2,2 :: 30,19,13,24,16,13,18,9,11,10
12,7,13,12,10,8,7,6,10,9 :: 4,6,10,6,6,5,3,7,5,2 :: 30,30,22,30,30,15,30,12,17,14
19,13,17,12,11,16,9,14,10,16 :: 10,5,5,3,4,4,5,5,8,3 :: 30,30,22,30,27,25,30,24,17,28
12,10,10,9,8,6,4,4,6,4 :: 10,10,10,10,10,9,9,9,10,10 :: 17,18,12,25,21,13,22,11,10,10
17,13,11,19,14,13,16,13,9,12 :: 4,10,5,2,2,5,2,2,2,2 :: 30,27,29,29,24,17,30,25,25,26
20,9,9,8,7,7,8,9,12,11 :: 9,10,5,6,5,5,4,6,4,6 :: 26,30,24,30,30,15,29,14,11,11
