Time_selectNodeWithHighestDegree2_MAT,,,,,,,,, :: Time_selectMoreInterconnectedCluster2Clusters_MAT,,,,,,,,, :: Time_selectAllNeigbhorsOf1Node_MAT,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
16,6,4,4,5,3,8,4,5,3 :: 4,2,6,3,2,1,1,2,1,1 :: 4,4,3,5,3,3,6,5,4,3
13,10,11,6,8,5,5,4,6,6 :: 2,3,2,2,4,1,3,2,2,1 :: 12,18,14,21,14,13,30,10,9,9
20,6,20,9,7,6,5,14,4,15 :: 3,7,4,4,10,7,2,2,2,2 :: 30,30,29,30,30,25,29,25,18,17
20,20,14,13,16,19,11,12,14,18 :: 3,5,9,2,3,1,4,2,3,2 :: 25,30,21,29,27,18,27,23,16,19
17,20,15,20,20,13,7,10,15,10 :: 3,4,4,4,2,1,3,2,3,3 :: 22,30,20,30,26,21,29,21,16,17
20,14,20,15,14,18,17,13,12,19 :: 3,4,5,3,4,3,3,3,3,3 :: 30,30,25,30,30,30,30,29,24,20
19,19,15,19,17,13,10,10,11,15 :: 5,10,3,5,3,6,3,3,2,3 :: 30,30,30,30,27,22,30,20,15,11
18,19,12,11,8,18,12,12,14,20 :: 5,4,4,3,3,3,3,3,4,3 :: 21,29,18,26,20,17,27,16,16,14
16,15,13,10,16,20,7,11,6,20 :: 5,7,8,6,7,5,5,4,3,4 :: 20,30,23,30,30,30,30,30,21,20
20,12,19,20,15,16,11,13,12,20 :: 5,4,4,3,4,3,3,4,4,4 :: 30,30,30,30,30,24,30,21,20,18
20,17,20,19,12,9,5,8,8,18 :: 5,5,4,3,3,5,5,4,4,4 :: 30,30,30,30,30,30,30,30,30,30
20,19,20,18,18,11,17,14,12,20 :: 4,3,6,3,3,2,3,3,3,3 :: 30,30,20,30,27,23,30,26,24,22
