Acc_selectNodeWithHighestDegree2_NL,Acc_selectNodeWithHighestDegree2_MAT
1.0,0.2
1.0,0.8
1.0,0.6
1.0,0.8
1.0,0.9
1.0,0.8
0.9,0.6
1.0,0.6
1.0,0.7
1.0,0.8
1.0,0.4
1.0,1.0
1.0,null
1.0,null
0.9,null


Acc_selectMoreInterconnectedCluster2Clusters_NL,Acc_selectMoreInterconnectedCluster2Clusters_MAT
1.0,0.8
1.0,1.0
0.8,0.9
1.0,0.9
1.0,1.0
0.7,1.0
1.0,0.9
1.0,0.9
1.0,0.7
0.9,1.0
1.0,1.0
0.9,1.0
1.0,null
0.8,null
1.0,null


Acc_selectAllNeigbhorsOf1Node_NL,Acc_selectAllNeigbhorsOf1Node_MAT
0.8166666666666668,0.041666666666666664
0.8277777777777778,0.7133333333333334
0.788888888888889,0.8222222222222222
0.4722222222222222,0.9
0.8222222222222222,0.8666666666666666
0.6444444444444446,0.7944444444444445
0.6305555555555556,0.7138888888888889
0.8722222222222221,0.6711111111111111
0.861111111111111,0.5994444444444446
0.8,0.6966666666666668
0.6888888888888889,0.08333333333333333
0.8333333333333333,0.868888888888889
0.8777777777777779,null
0.8,null
0.8,null


Time_selectNodeWithHighestDegree2_NL,Time_selectNodeWithHighestDegree2_MAT
8.9,5.8
15.4,7.4
8.9,10.6
13.9,15.7
8.8,14.7
7.3,16.2
8.4,14.8
7.4,14.4
10.0,13.4
6.1,15.8
9.4,13.6
13.7,16.9
7.3,null
13.7,null
10.0,null


Time_selectMoreInterconnectedCluster2Clusters_NL,Time_selectMoreInterconnectedCluster2Clusters_MAT
4.0,2.3
4.6,2.2
3.6,4.3
6.4,3.4
3.0,2.9
4.4,3.4
2.3,4.3
2.9,3.5
6.7,5.4
2.3,3.8
5.4,4.2
5.2,3.3
9.7,null
3.6,null
6.0,null


Time_selectAllNeigbhorsOf1Node_NL,Time_selectAllNeigbhorsOf1Node_MAT
18.8,4.0
23.3,15.0
17.5,26.3
19.4,23.5
20.0,23.2
19.5,27.8
15.9,24.5
19.5,20.4
22.6,26.4
16.3,26.3
23.0,30.0
26.3,26.2
15.9,null
26.2,null
22.0,null


