Time_selectAllNeigbhorsOf1Node_NL,,,,,,,,, :: Time_selectNodeWithHighestDegree2_NL,,,,,,,,, :: Time_selectMoreInterconnectedCluster2Clusters_NL,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
30,30,30,30,30,17,24,22,27,19 :: 16,12,12,7,6,8,7,5,8,10 :: 5,3,5,3,3,4,2,2,3,3
30,17,13,30,18,10,20,30,9,10 :: 6,5,5,5,5,5,6,5,6,5 :: 3,3,3,3,6,2,5,2,2,3
25,20,18,26,19,15,19,12,10,9 :: 14,5,8,6,5,6,6,5,7,6 :: 6,3,5,4,4,3,10,4,9,10
30,30,30,30,30,22,30,30,16,20 :: 20,15,12,15,15,8,12,11,14,15 :: 10,9,10,10,10,10,10,10,10,7
30,30,30,30,30,25,30,22,30,21 :: 15,11,14,10,10,7,7,7,7,13 :: 9,6,6,7,9,4,3,3,3,6
20,21,16,30,22,12,25,14,9,9 :: 10,9,7,11,6,5,6,6,8,7 :: 2,3,5,3,3,2,2,2,2,2
30,25,30,30,30,29,30,30,19,16 :: 20,8,9,10,12,10,6,8,9,7 :: 4,4,6,7,7,6,7,6,6,5
23,24,19,18,24,14,20,16,23,11 :: 15,9,10,15,12,12,6,8,9,6 :: 10,7,6,6,5,5,6,3,4,4
26,23,10,28,17,13,20,12,10,10 :: 10,11,6,14,10,6,9,8,7,6 :: 6,4,3,2,2,2,3,2,2,2
22,13,11,17,23,12,24,13,13,9 :: 9,5,5,10,13,8,9,7,5,8 :: 4,3,2,3,2,2,4,1,3,2
30,24,21,30,30,15,28,19,19,13 :: 10,8,11,10,12,8,11,8,9,14 :: 10,9,5,7,4,4,5,7,5,3
30,30,30,30,18,24,30,21,16,14 :: 12,9,9,15,13,9,7,8,18,7 :: 4,5,4,3,3,4,4,5,4,3
