Time_selectAllNeigbhorsOf1Node_MAT,,,,,,,,, :: Time_selectNodeWithHighestDegree2_MAT,,,,,,,,, :: Time_selectMoreInterconnectedCluster2Clusters_MAT,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
30,30,25,30,23,20,28,22,22,15 :: 18,10,16,9,15,15,8,14,8,20 :: 3,4,5,4,4,2,4,3,4,4
30,22,11,24,30,21,30,30,16,23 :: 20,11,20,16,20,9,8,7,6,20 :: 3,3,2,3,3,3,2,2,3,2
30,30,30,30,30,30,30,30,30,26 :: 19,18,20,18,20,19,14,14,20,20 :: 5,10,10,3,5,2,3,2,4,4
20,22,20,21,16,15,29,17,15,12 :: 17,16,12,18,14,13,13,14,6,11 :: 3,2,1,2,2,2,3,1,2,3
28,30,17,24,22,19,25,23,15,17 :: 17,16,18,20,19,16,11,18,13,19 :: 3,6,3,3,3,3,3,3,3,3
30,30,30,30,30,30,30,30,30,30 :: 18,18,15,19,19,16,17,20,14,16 :: 3,3,3,4,4,3,4,2,4,3
30,28,26,30,24,30,29,24,22,18 :: 20,20,13,16,6,9,11,6,4,14 :: 6,3,7,3,3,2,3,2,4,4
24,26,20,21,27,22,20,26,16,11 :: 16,17,20,15,12,11,13,13,9,12 :: 4,5,5,3,3,5,4,2,4,3
30,30,20,30,30,30,30,30,30,24 :: 17,18,20,20,17,14,14,20,13,15 :: 4,7,10,10,4,3,3,3,7,5
26,30,21,30,30,30,30,30,22,20 :: 20,20,20,20,16,20,11,11,11,20 :: 3,8,5,4,5,8,3,3,5,3
