Acc_selectAllNeigbhorsOf1Node_NL,Acc_selectAllNeigbhorsOf1Node_MAT
0.7972222222222222,0.8244444444444443
0.9083333333333332,0.6972222222222222
0.9444444444444443,0.5333333333333334
0.763888888888889,0.925
0.7833333333333333,0.9777777777777779
0.961111111111111,0.8222222222222222
0.6333333333333333,0.6877777777777778
0.8388888888888889,0.9083333333333332
0.9638888888888889,0.42666666666666664
0.9333333333333332,0.6866666666666666
0.9133333333333333,null
0.6611111111111111,null


Acc_selectNodeWithHighestDegree2_NL,Acc_selectNodeWithHighestDegree2_MAT
1.0,0.7
1.0,0.6
1.0,1.0
0.8,0.9
1.0,0.9
1.0,0.9
0.8,0.8
1.0,0.9
1.0,0.8
1.0,0.6
1.0,null
1.0,null


Acc_selectMoreInterconnectedCluster2Clusters_NL,Acc_selectMoreInterconnectedCluster2Clusters_MAT
0.9,0.9
0.9,0.8
0.9,0.9
0.5,0.8
0.9,0.9
0.9,0.9
0.8,0.8
0.9,0.9
0.9,0.7
0.9,0.8
0.9,null
0.5,null


Time_selectAllNeigbhorsOf1Node_NL,Time_selectAllNeigbhorsOf1Node_MAT
25.9,24.5
18.7,23.7
17.3,29.6
26.8,18.7
27.8,22.0
17.8,30.0
26.9,26.1
19.2,21.3
16.9,28.4
15.7,26.9
22.9,null
24.3,null


Time_selectNodeWithHighestDegree2_NL,Time_selectNodeWithHighestDegree2_MAT
9.1,13.3
5.3,13.7
6.8,18.2
13.7,13.4
10.1,16.7
7.5,17.2
9.9,11.9
10.2,13.8
8.7,16.8
7.9,16.9
10.1,null
10.7,null


Time_selectMoreInterconnectedCluster2Clusters_NL,Time_selectMoreInterconnectedCluster2Clusters_MAT
3.3,3.7
3.2,2.6
5.8,4.8
9.6,2.1
5.6,3.3
2.6,3.3
5.8,3.7
5.6,3.8
2.8,5.6
2.6,4.7
5.9,null
3.9,null


