Acc_selectLargerGroup_NL,Acc_selectLargerGroup_MAT
0.9,0.9
1.0,0.7
0.9,0.9
0.9,0.9
0.8,0.9
0.8,null


Acc_does2NodeBelongToSameCluster_NL,Acc_does2NodeBelongToSameCluster_MAT
0.7,0.5
0.7,0.3
1.0,0.9
1.0,0.9
1.0,0.7
1.0,null


Acc_howManyClustersAreThere_NL,Acc_howManyClustersAreThere_MAT
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,null


Time_selectLargerGroup_NL,Time_selectLargerGroup_MAT
4.5,3.5
7.6,6.6
4.6,5.5
3.7,5.5
6.4,5.7
5.4,null


Time_does2NodeBelongToSameCluster_NL,Time_does2NodeBelongToSameCluster_MAT
5.6,4.8
7.7,8.8
2.8,8.0
3.5,4.7
4.9,9.7
4.1,null


Time_howManyClustersAreThere_NL,Time_howManyClustersAreThere_MAT
1.0,1.0
1.0,0.9
1.0,0.8
0.8,0.9
1.0,1.0
1.0,null


